0.0030 0.19 0.37 0.19 5.36 4.32 5.36
0.0113 0.05 0.37 0.19 5.33 4.32 5.36
0.0189 0.08 0.37 0.19 5.28 4.32 5.36
0.0265 -0.33 0.37 0.18 5.35 4.32 5.36
0.0341 -0.26 0.37 0.17 5.35 4.33 5.36
0.0417 -0.45 0.37 0.16 5.26 4.33 5.36
0.0493 -0.27 0.37 0.15 5.22 4.33 5.36
0.0569 -0.50 0.37 0.14 5.17 4.33 5.35
0.0645 0.24 0.37 0.14 5.27 4.33 5.35
0.0721 -0.51 0.37 0.13 5.46 4.33 5.35
0.0797 -0.27 0.37 0.12 5.50 4.33 5.36
0.0874 -0.27 0.38 0.11 5.66 4.33 5.36
0.0950 -0.31 0.37 0.10 5.41 4.32 5.36
0.1026 -0.21 0.37 0.10 5.00 4.32 5.35
0.1102 -0.04 0.37 0.09 5.07 4.32 5.35
0.1179 -0.52 0.37 0.08 5.42 4.32 5.35
0.1255 0.10 0.37 0.08 5.02 4.33 5.34
0.1332 0.03 0.37 0.08 4.89 4.33 5.34
0.1408 -0.37 0.37 0.07 4.73 4.33 5.32
0.1484 -0.24 0.37 0.07 5.14 4.33 5.32
0.1560 -0.04 0.38 0.07 5.05 4.32 5.31
0.1635 -0.36 0.38 0.06 5.18 4.32 5.31
0.1711 -0.41 0.38 0.05 5.16 4.32 5.31
0.1787 -0.14 0.38 0.05 5.21 4.32 5.30
0.1863 -0.10 0.38 0.04 5.19 4.32 5.30
0.1938 0.09 0.38 0.05 5.32 4.32 5.30
0.2014 -0.16 0.38 0.04 5.18 4.32 5.30
0.2090 -0.30 0.38 0.03 5.09 4.32 5.30
0.2169 -0.49 0.38 0.02 5.57 4.32 5.30
0.2247 -0.38 0.38 0.02 5.28 4.32 5.30
0.2322 -0.14 0.38 0.01 4.97 4.32 5.29
0.2399 0.07 0.38 0.02 5.45 4.32 5.29
0.2475 0.13 0.38 0.02 5.36 4.32 5.29
0.2551 -0.23 0.38 0.01 5.50 4.32 5.30
0.2627 -0.09 0.38 0.01 5.30 4.32 5.30
0.2703 0.00 0.38 0.01 5.25 4.32 5.30
0.2779 -0.20 0.38 0.01 5.27 4.32 5.30
0.2855 -0.41 0.38 0.00 5.44 4.32 5.30
0.2932 -0.39 0.38 -0.01 5.52 4.32 5.30
0.3008 -0.21 0.38 -0.01 4.97 4.32 5.30
0.3084 -0.05 0.38 -0.01 5.21 4.32 5.30
0.3160 -0.24 0.38 -0.02 5.18 4.32 5.29
0.3236 -0.10 0.39 -0.02 5.06 4.32 5.29
0.3311 -0.05 0.38 -0.02 5.51 4.32 5.29
0.3387 -0.27 0.39 -0.02 5.34 4.32 5.29
